Status,Type,Station name,Station address,LGA,Suburbs,Postcode,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Charger_capacities,Tesla,Type 2,J-1772,Geopoint,ObjId,EV Station ID,Google maps drive to
Existing,Destination charger,Milton Park Country House charger,Horderns Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bangalay Luxury Villas charger,30 Staples St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Goulburn Worker's Club charger,256 Auburn St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Seabird charger,103 Bruce Cameron Drive,,,,,,,,,,,,,,,,,
Existing,Destination charger,Train St Central charger,44 Train St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Corrigans Cove Resort charger,204 Beach Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Charles Sturt University Albury - Wodonga Campus charger,386 Elizabeth Mitchell Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Waring Gardens - Deniliquin charger,281 Cressy St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Winsor Park Motor Inn charger,471 Young St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Lake Crackenback Resort charger,1650 Alpine Way,,,,,,,,,,,,,,,,,
Existing,Fast charger,NRMA - Cooma charger,Yulin Avenue,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Pulse Kellyville charger,19-23 Windsor Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Seven Hills charger,26 Abbott Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Balgowlah charger,485 Sydney Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,BP Asquith charger,462 Pacific Hwy,,,,,,,,,,,,,,,,,
Existing,Fast charger,Village Centre Batemans Bay charger,1 Perry St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Macquarie Centre (2) charger,105Ð107 Waterloo Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Shire St Parking charger,13-15 Shire St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Lithgow Workies Club charger,3-7 Tank St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Letitia St & Frederick St Parking charger,20 Letitia St,,,,,,,,,,,,,,,,,
Existing,Fast charger,Anzac Parade Car Park charger,827 Anzac Parade,,,,,,,,,,,,,,,,,
Existing,Fast charger,Morgan St Parking charger,Morgan St,,,,,,,,,,,,,,,,,
Existing,Fast charger,JOLT Perry St charger,550 Bunnerong Rd,,,,,,,,,,,,,,,,,
Existing,Fast charger,Holbrook charger,66 Young St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cabarita Beach charger,47 Cabarita Beach Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Mullumbimby Council Car Park charger,70-90 Station St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Sails Port Macquarie charger,20 Park St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Hotel Metropole charger,98 Keen St Lismore NSW 2480,LISMORE,Lismore,2480,-28.80868286,153.2796972,Open 24/7,Everty,4,4,kW,0,4,0,-28.80868286,,,
Existing,Destination charger,Taronga Western Plains Zoo charger,Obley road Taronga Western Plains Zoo,,,,,,,,,,,,,,,,,
Existing,Destination charger,Newcastle Links Motel charger,1024 Nelson Bay Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Muswellbrook Marketplace charger,Hill Street,,,,,,,,,,,,,,,,,
Existing,Destination charger,West End Motor Lodge charger,2-6 Dalton St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cypress Lakes Resort Golf & Country Club charger,Vintage Avenue,,,,,,,,,,,,,,,,,
Existing,Destination charger,Briar Ridge Vineyard charger,593 Mount View Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,Winning Post Motor Inn charger,101 Church St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kloster Nissan charger,Tudor St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Wharf Rd Car Park charger,209 Wharf Road,,,,,,,,,,,,,,,,,
Existing,Destination charger,Club Maitland City (1) charger,14 Arthur St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Waves Fitness & Aquatic Centre charger,44 Mileham Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Blacktown Exercise Sports and Technology Hub at the International sports park charger,Gate A,,,,,,,,,,,,,,,,,
Existing,Destination charger,Hotel Mountain Heritage Blue Mountains charger,10 Apex St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Kyah Hotel charger,13-17 Brightlands Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,Stevens Park Rockley charger,6 Budden St,,,,,,,,,,,,,,,,,
Existing,Destination charger,The William Inglis Hotel charger,155 Gov Macquarie Dr,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bathurst Rail Museum charger,126 Havannah St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Birkenhead Point Outlet Centre charger,19 Roseby St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Bow Charging - Randwick charger,46 Gilderthorpe Avenue,,,,,,,,,,,,,,,,,
Existing,Destination charger,Holiday Inn Sydney - Potts Point charger,203 Victoria St,,,,,,,,,,,,,,,,,
Existing,Destination charger,100 Harris charger,100 Harris St,,,,,,,,,,,,,,,,,
Existing,Destination charger,Cochlear - Energy and Carbon charger,14 Mars Rd,,,,,,,,,,,,,,,,,
Existing,Destination charger,The Lantern Club charger,21 Roselands Ave,,,,,,,,,,,,,,,,,
Existing,Destination charger,East Village Shopping Centre (2) charger,Level B2,,,,,,,,,,,,,,,,,
Existing,Destination charger,Moruya Golf Club charger,66 Murray St,,,,,,,,,,,,,,,,,
